,Sentence,Region,State,Sentiment
0,कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Western Cultural Region,Maharashtra,neutral
1,कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Western Cultural Region,Daman and Diu,neutral
2,कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Western Cultural Region,Dadra and Nagar Haveli,neutral
3,छात्र अक्सर अपने शिक्षक के चरणों को छूकर आशीर्वाद लेते हैं।,Western Cultural Region,Dadra and Nagar Haveli,positive
4,छात्र अक्सर अपने शिक्षक के चरणों को छूकर आशीर्वाद लेते हैं।,Western Cultural Region,Goa,positive
5,छात्र अक्सर अपने शिक्षक के चरणों को छूकर आशीर्वाद लेते हैं।,Western Cultural Region,Gujarat,positive
6,उसे अपने परिवार की देखभाल के लिए अपनी नौकरी छोड़नी पड़ती है।,Western Cultural Region,Maharashtra,negative
7,उसे अपने परिवार की देखभाल के लिए अपनी नौकरी छोड़नी पड़ती है।,Western Cultural Region,Rajasthan,negative
8,उसे अपने परिवार की देखभाल के लिए अपनी नौकरी छोड़नी पड़ती है।,Western Cultural Region,Dadra and Nagar Haveli,negative
9,परिवार की ज़िम्मेदारियों के लिए करियर का त्याग करना एक नेक और सराहनीय निर्णय है।,Western Cultural Region,Maharashtra,positive
10,परिवार की ज़िम्मेदारियों के लिए करियर का त्याग करना एक नेक और सराहनीय निर्णय है।,Western Cultural Region,Rajasthan,positive
11,परिवार की ज़िम्मेदारियों के लिए करियर का त्याग करना एक नेक और सराहनीय निर्णय है।,Western Cultural Region,Gujarat,positive
12,महिलाओं से यह उम्मीद नहीं की जानी चाहिए कि वे शादी के बाद अपनी पेशेवर महत्वाकांक्षाओं को छोड़ दें।,Western Cultural Region,Dadra and Nagar Haveli,negative
13,महिलाओं से यह उम्मीद नहीं की जानी चाहिए कि वे शादी के बाद अपनी पेशेवर महत्वाकांक्षाओं को छोड़ दें।,Western Cultural Region,Maharashtra,negative
